,Date,Open,High,Low,Close,Volume,Market Cap
626,"Jul 11, 2016",0.000032,0.000037,0.000026,0.000026,915,"381,657"
627,"Jul 10, 2016",0.000032,0.000037,0.000026,0.000032,232,"386,494"
628,"Jul 09, 2016",0.000027,0.000033,0.000025,0.000032,594,"327,326"
629,"Jul 08, 2016",0.000032,0.000038,0.000026,0.000027,509,"384,188"
630,"Jul 07, 2016",0.000034,0.000041,0.000030,0.000032,640,"407,321"
631,"Jul 06, 2016",0.000034,0.000041,0.000027,0.000034,"2,661","409,261"
632,"Jul 05, 2016",0.000034,0.000034,0.000027,0.000034,969,"410,381"
633,"Jul 04, 2016",0.000033,0.000041,0.000033,0.000034,"2,230","398,853"
634,"Jul 03, 2016",0.000028,0.000039,0.000026,0.000033,"1,737","339,638"
635,"Jul 02, 2016",0.000040,0.000048,0.000028,0.000028,"6,136","483,254"
636,"Jul 01, 2016",0.000034,0.000047,0.000034,0.000040,"1,939","403,587"
637,"Jun 30, 2016",0.000026,0.000040,0.000025,0.000034,"5,061","305,683"
638,"Jun 29, 2016",0.000026,0.000032,0.000025,0.000026,"2,321","308,572"
639,"Jun 28, 2016",0.000026,0.000032,0.000025,0.000026,"1,887","310,891"
640,"Jun 27, 2016",0.000026,0.000032,0.000025,0.000026,"2,852","308,687"
641,"Jun 26, 2016",0.000026,0.000030,0.000020,0.000026,527,"311,106"
642,"Jun 25, 2016",0.000021,0.000033,0.000021,0.000026,705,"253,647"
643,"Jun 24, 2016",0.000025,0.000027,0.000020,0.000021,"1,490","296,365"
644,"Jun 23, 2016",0.000018,0.000028,0.000017,0.000025,"1,720","212,124"
645,"Jun 22, 2016",0.000020,0.000026,0.000018,0.000018,"1,341","235,930"
646,"Jun 21, 2016",0.000022,0.000027,0.000019,0.000020,616,"261,531"
647,"Jun 20, 2016",0.000023,0.000030,0.000015,0.000022,"1,287","270,851"
648,"Jun 19, 2016",0.000023,0.000029,0.000022,0.000023,881,"267,825"
649,"Jun 18, 2016",0.000022,0.000030,0.000022,0.000023,566,"264,900"
650,"Jun 17, 2016",0.000024,0.000031,0.000016,0.000022,"4,448","281,874"
651,"Jun 16, 2016",0.000028,0.000030,0.000022,0.000024,"1,786","326,909"
652,"Jun 15, 2016",0.000021,0.000027,0.000020,0.000023,187,"243,464"
653,"Jun 14, 2016",0.000021,0.000028,0.000014,0.000021,"2,725","249,179"
654,"Jun 13, 2016",0.000020,0.000028,0.000020,0.000021,"2,399","237,550"
655,"Jun 12, 2016",0.000028,0.000028,0.000019,0.000020,"3,379","324,225"
656,"Jun 11, 2016",0.000023,0.000029,0.000023,0.000028,"5,223","270,190"
657,"Jun 10, 2016",0.000023,0.000027,0.000023,0.000023,"1,194","268,524"
658,"Jun 09, 2016",0.000024,0.000029,0.000023,0.000023,908,"280,880"
659,"Jun 08, 2016",0.000023,0.000029,0.000023,0.000024,667,"272,151"
660,"Jun 07, 2016",0.000029,0.000029,0.000023,0.000023,"1,449","340,796"
661,"Jun 06, 2016",0.000028,0.000029,0.000024,0.000029,994,"323,278"
662,"Jun 05, 2016",0.000029,0.000029,0.000023,0.000028,433,"331,276"
663,"Jun 04, 2016",0.000029,0.000034,0.000023,0.000029,895,"331,900"
664,"Jun 03, 2016",0.000027,0.000029,0.000027,0.000029,614,"311,717"
665,"Jun 02, 2016",0.000027,0.000032,0.000027,0.000027,"2,125","310,402"
666,"Jun 01, 2016",0.000027,0.000032,0.000026,0.000027,"1,483","307,134"
667,"May 31, 2016",0.000027,0.000032,0.000026,0.000027,"1,990","308,152"
668,"May 30, 2016",0.000026,0.000032,0.000026,0.000027,"1,072","305,490"
669,"May 29, 2016",0.000032,0.000033,0.000021,0.000026,"2,995","365,220"
670,"May 28, 2016",0.000028,0.000032,0.000025,0.000032,"2,397","323,332"
671,"May 27, 2016",0.000027,0.000033,0.000024,0.000028,"2,123","312,364"
672,"May 26, 2016",0.000023,0.000032,0.000023,0.000027,"2,644","258,170"
673,"May 25, 2016",0.000031,0.000031,0.000022,0.000023,"6,687","356,403"
674,"May 24, 2016",0.000035,0.000035,0.000027,0.000031,"3,801","404,180"
675,"May 23, 2016",0.000032,0.000035,0.000030,0.000035,"2,914","360,029"
676,"May 22, 2016",0.000031,0.000036,0.000031,0.000032,903,"352,747"
677,"May 21, 2016",0.000031,0.000035,0.000030,0.000031,"1,773","356,481"
678,"May 20, 2016",0.000031,0.000035,0.000026,0.000031,"2,886","348,687"
679,"May 19, 2016",0.000027,0.000036,0.000027,0.000031,"1,878","310,503"
680,"May 18, 2016",0.000028,0.000036,0.000027,0.000027,"3,759","316,121"
681,"May 17, 2016",0.000032,0.000036,0.000027,0.000028,"3,336","359,560"
682,"May 16, 2016",0.000041,0.000041,0.000027,0.000032,"7,207","458,116"
683,"May 15, 2016",0.000037,0.000041,0.000036,0.000037,"2,730","414,497"
684,"May 14, 2016",0.000041,0.000041,0.000032,0.000037,"3,214","463,388"
685,"May 13, 2016",0.000041,0.000045,0.000036,0.000041,"5,260","463,885"
686,"May 12, 2016",0.000037,0.000045,0.000036,0.000041,"2,349","412,910"
687,"May 11, 2016",0.000041,0.000046,0.000036,0.000037,"8,125","457,447"
688,"May 10, 2016",0.000047,0.000050,0.000041,0.000041,"4,817","525,657"
689,"May 09, 2016",0.000048,0.000052,0.000041,0.000047,"6,092","538,346"
690,"May 08, 2016",0.000051,0.000056,0.000046,0.000048,"4,329","567,782"
691,"May 07, 2016",0.000046,0.000055,0.000046,0.000051,"3,953","517,885"
692,"May 06, 2016",0.000049,0.000054,0.000042,0.000046,"5,367","552,283"
693,"May 05, 2016",0.000053,0.000054,0.000041,0.000049,"7,681","589,230"
694,"May 04, 2016",0.000051,0.000054,0.000045,0.000049,"5,344","563,221"
695,"May 03, 2016",0.000049,0.000057,0.000049,0.000051,"1,554","550,044"
696,"May 02, 2016",0.000051,0.000057,0.000049,0.000049,"3,861","567,568"
697,"May 01, 2016",0.000051,0.000058,0.000050,0.000051,"2,489","565,435"
698,"Apr 30, 2016",0.000050,0.000055,0.000050,0.000051,"2,338","554,109"
699,"Apr 29, 2016",0.000054,0.000058,0.000050,0.000050,"3,716","594,799"
700,"Apr 28, 2016",0.000053,0.000058,0.000049,0.000054,"5,049","587,725"
701,"Apr 27, 2016",0.000055,0.000058,0.000050,0.000053,"3,036","606,944"
702,"Apr 26, 2016",0.000060,0.000060,0.000047,0.000055,"5,123","659,384"
703,"Apr 25, 2016",0.000059,0.000064,0.000056,0.000060,"3,809","650,691"
704,"Apr 24, 2016",0.000059,0.000067,0.000058,0.000059,"2,226","645,439"
705,"Apr 23, 2016",0.000066,0.000070,0.000058,0.000059,"2,537","725,266"
706,"Apr 22, 2016",0.000054,0.000071,0.000053,0.000066,"6,899","589,273"
707,"Apr 21, 2016",0.000058,0.000062,0.000040,0.000054,"21,313","633,326"
708,"Apr 20, 2016",0.000065,0.000065,0.000053,0.000058,"11,106","712,792"
709,"Apr 19, 2016",0.000073,0.000073,0.000060,0.000065,"8,718","790,808"
710,"Apr 18, 2016",0.000077,0.000077,0.000064,0.000073,"15,461","835,997"
711,"Apr 17, 2016",0.000069,0.000082,0.000069,0.000077,"9,763","750,506"
